Date,Open,High,Low,Close,Volume,Market Cap
Aug-17-2022,23858.86042,24416.598,23213.05903,23311.75915,55592942003.289200,453256684699.594000
Aug-16-2022,24088.5357,24236.6282,23707.5439,23889.74606,59133679900.444400,458345123480.834000
Aug-15-2022,24300.94304,25136.0173,23804.7166,24146.6057,59267124807.111100,463905635630.022000
Aug-14-2022,24443.20772,24975.3551,24177.63291,24323.00217,45036090766.222200,468505617974.206000
Aug-13-2022,24399.2979,24879.86331,24334.20221,24427.97318,55096228622.222200,468930049868.290000
Aug-12-2022,23934.3906,24417.5757,23644.7259,24395.938,74588843079.111100,458429489535.791000
Aug-11-2022,23956.8358,24838.02258,23872.7772,23928.9778,86265117553.777700,465824711793.651000
Aug-10-2022,23145.39408,24149.62713,22734.43796,23940.2045,75259928007.111100,447407095340.551000
Aug-09-2022,23817.559,23892.834,22906.4602,23158.6991,70921624871.111100,448026726997.483000
Aug-08-2022,23173.56449,24223.89166,23173.56449,23792.955,61125921052.444400,454755111561.976000
Aug-07-2022,22941.6741,23371.0648,22864.3859,23170.70242,37227900821.333300,441070611370.922000
Aug-06-2022,23296.01436,23327.09846,22938.3603,22938.3603,46671867100.444400,443172289378.620000
Aug-05-2022,22603.22935,23440.18661,22603.22935,23225.78975,129511878926.222000,440925915648.110000
Aug-04-2022,22817.3353,23200.51931,22449.9977,22635.52,63618554424.888800,436671458582.973000
Aug-03-2022,22986.79764,23567.7332,22722.4086,22812.3048,61731132919.080100,442850015786.802000
Aug-02-2022,23281.93087,23423.38037,22683.0436,22963.82554,64458226289.777700,438874273552.169000
Aug-01-2022,23311.5556,23475.5943,22864.67662,23311.59284,63362851484.444400,443686399923.680000
Jul-31-2022,23635.63636,24167.15107,23258.2971,23314.4296,70552922680.888800,453330489667.011000
Jul-30-2022,23789.5514,24589.35357,23550.6775,23642.24323,78457212017.777700,459086809086.100000
Jul-29-2022,23852.00876,24298.65222,23452.4636,23746.2734,82637280583.111100,456242554881.867000
Jul-28-2022,22954.99807,24139.4757,22713.87195,23847.01344,95390300728.888800,445314132645.699000
Jul-27-2022,21279.62235,22943.12042,21047.5454,22943.12042,74499287061.407600,413620711790.040000
Jul-26-2022,21317.184,21317.184,20737.03582,21206.71524,80699937495.860600,401724637843.714000
Jul-25-2022,22583.91577,22620.9539,21340.4673,21340.4673,63096376192.000000,419308316689.928000
Jul-24-2022,22459.03629,22990.39361,22295.8444,22600.78471,64037183873.337900,432554845044.937000
Jul-23-2022,22683.3616,22971.2668,22000.69088,22471.3157,66410503533.202800,429970549238.530000
Jul-22-2022,23153.3584,23679.19482,22559.0086,22701.085,86243476340.850100,441950488414.323000
Jul-21-2022,23219.1382,23403.2821,22369.09692,23180.0875,91477466453.333300,438036787268.617000
Jul-20-2022,23409.933,24237.7006,22966.7746,23244.5742,93750028123.874500,450053895443.801000
Jul-19-2022,22517.0955,23695.7738,21620.9054,23407.3451,104199588124.444000,430166512641.932000
Jul-18-2022,20787.37682,22688.71683,20787.37682,22440.03658,75819726179.555500,416830549514.321000
Jul-17-2022,21207.85095,21605.86931,20769.40226,20769.40226,63000171477.333300,405280805586.623000
Jul-16-2022,20825.95713,21507.16927,20514.6608,21192.11367,67204086400.000000,398560864419.217000
Jul-15-2022,20587.367,21161.56873,20406.85345,20831.31137,70225059640.195100,396977697387.640000
Jul-14-2022,20241.3541,20748.3833,19659.56011,20587.5358,67129015438.222200,385428719518.827000
Jul-13-2022,19330.0263,20223.0186,19001.01635,20187.1528,55545072384.000000,374601942548.602000
Jul-12-2022,19961.3584,20043.3868,19313.26076,19313.26076,48327162040.888800,377450556442.847000
Jul-11-2022,20849.27192,20849.27192,19930.49038,19992.29457,49043628074.666600,391019023393.652000
Jul-10-2022,21584.98166,21589.42303,20701.0522,20857.65584,54982980252.444400,403608460617.635000
Jul-09-2022,21594.39562,21951.0266,21424.1627,21592.74175,83660958023.111100,412806037389.160000
Jul-08-2022,21654.1355,22332.79352,21250.88435,21801.08221,70338781754.871000,415489591997.287000
Jul-07-2022,20562.57347,21801.0647,20279.6294,21647.16593,44030315825.777700,396814663327.155000
Jul-06-2022,20209.97547,20615.7438,19835.7004,20557.53555,52267397111.462600,385421461532.839000
Jul-05-2022,20219.6652,20687.75138,19354.56272,20185.96233,47991911817.846100,381901509024.666000
Jul-04-2022,19317.458,20296.167,19071.7771,20255.6454,33124206627.555500,372653433607.490000
Jul-03-2022,19249.3473,19567.1081,18973.25187,19310.0755,29227636337.777700,365991968153.194000
Jul-02-2022,19266.38852,19425.75551,19036.1315,19246.50949,39790523569.777700,367230819438.140000
Jul-01-2022,19922.81905,20623.15226,19075.4632,19336.10444,63618849237.333300,373099100824.934000
Jun-30-2022,20117.9242,20145.9851,18703.15969,19816.74636,46778511125.333300,369357539206.579000
Jun-29-2022,20278.898,20389.37346,19907.76982,20101.12,45608149548.599300,384572998161.438000
Jun-28-2022,20715.20137,21183.62153,20223.80361,20293.4508,42703964992.000000,395180734750.908000
Jun-27-2022,21036.933,21496.338,20647.67841,20732.9834,39899888824.888800,401731178345.501000
Jun-26-2022,21504.60597,21836.73784,21001.3787,21029.2163,36017590144.000000,407726053064.878000
Jun-25-2022,21221.5269,21528.4212,20941.2133,21499.97104,45185609102.222200,405779943182.657000
Jun-24-2022,21097.6645,21461.36528,20764.6157,21279.53233,49938802076.444400,402565105296.298000
Jun-23-2022,19975.72993,21160.10148,19975.72993,21075.1688,50275136312.888800,391754411545.691000
Jun-22-2022,20722.22585,20859.85904,19845.68434,19976.05359,52507160192.000000,387629559078.785000
Jun-21-2022,20577.5997,21647.0789,20401.5783,20739.94339,56244118427.461800,400486104262.815000
Jun-20-2022,20580.038,20914.5884,19705.75385,20672.8011,63496474254.222200,387527639821.405000
Jun-19-2022,19010.4765,20706.3161,18022.46951,20554.9027,82744323328.000000,368085789556.553000
Jun-18-2022,20461.9237,20741.7391,17697.7025,19007.5031,61457061780.961600,369023241511.368000
Jun-17-2022,20406.0243,21292.183,20267.28728,20468.2145,67973860679.111100,394848790059.146000
Jun-16-2022,22579.09595,22943.38114,20252.0114,20383.6889,92380926151.804800,409049560826.440000
Jun-15-2022,22174.8006,22653.35756,20142.25361,22490.59073,90580280561.777700,407624997348.388000
Jun-14-2022,22456.7808,22982.3322,20869.15852,22209.515,123594977869.249000,423267130396.760000
Jun-13-2022,26599.66116,26863.63286,22070.9799,22509.0994,105249305349.370000,462314682932.589000
Jun-12-2022,28415.5422,28519.7408,26704.72936,26704.72936,60305080590.222200,527069614633.274000
Jun-11-2022,29095.1811,29425.9387,28170.85202,28399.9749,53289670456.888800,550475615516.251000
Jun-10-2022,30078.13233,30312.4407,28900.47871,29082.53195,52091153521.777700,565428800703.818000
Jun-09-2022,30212.85108,30639.96057,29982.06307,30111.70675,48748364379.621000,576733008890.287000
Jun-08-2022,31120.2203,31268.65782,29912.0293,30204.54858,75542208295.661900,580845333537.884000
Jun-07-2022,31380.1353,31545.8831,29266.125,31193.0692,68097897088.000000,572155772444.804000
Jun-06-2022,29930.4593,31729.39688,29925.32269,31367.4226,49275600327.111100,595661299287.207000
Jun-05-2022,29847.32634,30162.09609,29591.6353,29909.21037,28084240917.333300,568276877179.002000
Jun-04-2022,29705.77615,29927.8237,29475.2174,29840.07522,39962044160.000000,566064779259.467000
Jun-03-2022,30461.94854,30648.6798,29353.70495,29717.55805,53726854599.111100,571530787432.244000
Jun-02-2022,29795.17499,30614.12055,29628.06005,30441.46505,72164759239.111100,572595501230.269000
Jun-01-2022,31779.99955,31945.45942,29490.85088,29789.42113,64099978301.080700,592142241617.238000
May-31-2022,31734.2022,32298.41752,31242.2411,31852.83438,70227787192.888800,604248798473.674000
May-30-2022,29468.0772,31882.6501,29319.42998,31720.0295,50971087599.888100,583248423788.627000
May-29-2022,29031.30737,29530.42291,28855.5589,29445.7241,29084438122.666600,555225725632.153000
May-28-2022,28605.61109,29144.95937,28543.15571,29047.06027,52117457770.666600,550403459998.920000
May-27-2022,29194.91,29357.66681,28291.03514,28606.47447,79709591395.555500,550545723746.287000
May-26-2022,29554.5432,29868.8204,28143.43486,29353.61926,67488629632.000000,561112897767.929000
May-25-2022,29654.5966,30201.4321,29382.54239,29557.53374,59054062151.111100,566957692688.279000
May-24-2022,29096.33019,29794.4733,28749.97893,29674.1123,61173457223.111100,558378843638.228000
May-23-2022,30295.92774,30619.92559,28887.00372,29114.08113,49091907997.881500,573306612491.278000
May-22-2022,29445.06212,30426.87796,29246.77655,30366.04222,34792840362.666600,567574103618.366000
May-21-2022,29205.28752,29593.57411,28992.4553,29449.98556,48647341319.111100,558928566961.948000
May-20-2022,30319.70837,30698.26604,28761.51141,29234.03291,64020598172.444400,567830871551.010000
May-19-2022,28696.6142,30496.06039,28696.6142,30376.33148,77876670965.258700,562865558972.180000
May-18-2022,30446.06728,30622.94536,28714.1184,28760.1539,66819677365.965100,563937579946.515000
May-17-2022,29833.0525,30731.7049,29532.7609,30452.62433,54496429838.222200,576731773060.643000
May-16-2022,31293.22239,31293.22239,29239.1608,29880.54816,55757204906.666600,570951550317.495000
May-15-2022,30076.9329,31390.4799,29512.2442,31333.76562,45280980437.333300,573617058982.265000
May-14-2022,29289.7779,30255.8115,28735.71017,30123.7756,66074598286.222200,559872002421.091000
May-13-2022,29012.3858,30990.35616,28784.978,29250.004,143425804515.555000,574594869134.224000
