Most Likely Case,Worst Case,Best Case
166.71157791208947,159.05868955060055,175.07172554277307
166.90616926413588,158.47518845633314,174.71500278134346
166.9544162987884,158.8382233848847,174.91791782843646
167.08550284297675,159.1215903347834,175.26425380728807
168.05285038366335,159.83366197457633,175.91553738086864
168.23155577322842,159.8480229113825,175.92911803089262
167.78225465112536,159.88830871976916,175.30223676810377
167.97076636556739,159.94990142000253,175.44151044255298
168.1521929173951,160.3977789449894,176.20330792448874
168.18482717105604,159.7342438461012,176.03662935356755
168.29805972856957,160.5951604817258,175.73807273661743
169.24552541298118,160.86880538898689,176.864114810943
169.40254100111338,161.73909067704116,177.203075381792
168.9299691010081,161.27117071806072,177.02962917282804
169.0938638544852,160.93068792450222,177.17066622129664
169.24957085734889,161.25139676903703,177.16950106224004
169.2556363920666,162.06549515023562,177.13752860447994
169.34171520465495,160.96111517912433,177.16910197727665
170.26171760165727,162.60473650490871,178.21425391495274
170.39124733772968,162.65564133296405,178.2038305143117
169.89146502965798,162.50804113448717,177.7865348775228
170.028732635212,161.88869896931118,178.18608442967624
170.15871127289603,162.46760241659925,177.87315796409484
170.1402673933115,162.2980683038215,177.61582136330563
170.2033764881995,162.38714699393188,178.15342368053876
171.10226511059076,163.29752086490066,179.1167743966466
171.21284272059623,163.63055519866327,178.9404957611233
170.6965581847714,162.99206010525228,178.22289833146627
170.8200366074679,162.75296437499583,178.602819532743
170.939168956275,163.1100029084141,178.70344521162548
170.91300972022378,163.44156898238424,178.82756795443328
170.97167205141682,162.94755805705944,179.295686865053
171.8694614571437,163.84422622412924,180.29324136392833
