Most Likely Case,Worst Case,Best Case
42.09190216247489,37.87834421684505,46.30154890509403
42.1412967612924,38.06124195619215,46.13013959573038
42.19898090431465,38.33358560418028,46.586458311630096
42.27924505659959,37.67993411156839,46.81763523784622
42.15442926995924,37.88486254257984,46.213547133669316
42.219409963732176,37.871610063275604,46.592212586480294
42.46461422557878,38.306803009944055,46.72648772693736
42.55712547153836,38.16233830008033,46.57956335655728
42.599404195388544,38.483972594853796,46.90955783104745
42.651461866757245,38.30951903671918,46.68943961732639
42.727434822969,38.51848739019741,47.02260492492866
42.59943202472882,38.26928235777848,46.79800222354308
42.66203132936886,38.306945327670824,46.83150918914351
42.905305607670314,39.032727711226634,47.015074563531044
42.99594218270265,39.24522872700684,47.3014140571245
43.03597889722522,38.68630329793191,47.4297098213404
43.084994395087726,38.792839275424036,47.5185878985898
43.15669895093944,39.03348792216816,47.15891795489218
43.02279918603036,39.10360194606332,47.227508594181934
43.07751078564789,39.0110297625923,47.15318377478364
43.31060001622157,39.44226795919111,47.696255076924665
43.388517018698494,38.838957487841554,47.39116388662394
43.41314372427866,39.180311814537475,47.78523651986997
43.44399357305682,39.34751650844793,47.67784404469296
43.49480903323714,39.00327717670272,47.93329354973561
43.33743000103195,39.218757733583566,47.54912828581449
43.36630702664106,39.255656901930024,47.45457044079964
43.57154008773396,39.290357453326045,47.40819264773311
43.62000590731236,39.40686970326721,47.819667403580375
43.61409677967763,39.63273296454929,47.78513622735914
43.61390829779097,39.72333038236382,48.04184890123917
43.633822282283276,39.417890131978986,47.77560327223465
43.44635837694215,39.011861379329,47.28346314311531
