ds,Most Likely Case,Worst Case,Best Case
2020-11-17,72.37449308109156,63.64040022503649,80.87220894414466
2020-11-18,72.46885768835058,63.851829347895695,80.68630672698019
2020-11-19,72.62555867385463,64.5402694645592,81.32778992822034
2020-11-20,72.75748301183037,63.99693465231212,81.46016041219933
2020-11-23,73.19711602376579,64.77645549319725,82.16152791240432
2020-11-24,73.5593023645772,65.03124397676288,82.09322482781064
2020-11-25,73.61628496242163,64.70133299163439,82.54179418205328
2020-11-27,73.83270554517283,65.0842677581452,81.95917908678297
2020-11-30,74.17573088844694,65.2666817149,82.91556904967055
2020-12-01,74.50993167856318,65.91592766200117,83.26710341781624
2020-12-02,74.54134829653727,66.06421364965296,82.66519616415181
2020-12-03,74.63835426453855,66.2811732966665,82.75323298079769
2020-12-04,74.71429549812429,66.60998609013915,82.69324286789715
2020-12-07,75.01166019189219,67.30127940817549,83.50820886365555
2020-12-08,75.33573983127977,66.44636317503117,83.57968688863777
2020-12-09,75.35947980594598,66.30999160837507,83.76956219199513
2020-12-10,75.45117974702323,67.03012988731021,84.03467689856814
2020-12-11,75.52411458877981,67.30181913047122,83.6313024456053
2020-12-14,75.825709748509,67.82671400541903,84.79804984886745
2020-12-15,76.15551294797875,67.70167131796013,84.79178812358542
2020-12-16,76.1871261490347,68.1985615323122,85.01251354149112
2020-12-17,76.28886902510506,67.76140586144825,84.91555097248795
2020-12-18,76.37404750510497,67.47230964140213,84.27953940444827
2020-12-21,76.7259123042829,68.6588598754536,85.43829642824198
2020-12-22,77.07704506490758,68.49796707605293,85.90243082608191
2020-12-23,77.1322444240331,68.63262981328509,85.43991372789121
2020-12-24,77.2597543624249,68.67388949807776,86.25880078427315
2020-12-28,77.8181356327213,70.14107617540091,86.21609041326796
2020-12-29,78.20267434888865,70.10434165199489,86.9890930981476
2020-12-30,78.29164011900617,69.74086789675249,86.57267938094623
2020-12-31,78.45270596481647,69.61332624519544,86.96953940388052
2021-01-04,79.12945377670437,70.22035347597784,87.8995166520787
2021-01-05,79.53576044571074,71.30180010371575,87.7319895345337
2021-01-06,79.64174194409794,71.54996920291313,88.35224372656538
2021-01-07,79.81427584813278,71.5194095341463,88.4271310447471
2021-01-08,79.96514627674259,71.31654004831856,88.2936381500223
2021-01-11,80.4676073273279,72.2786595474326,88.27918434926265
2021-01-12,80.84814646110823,72.08953827054239,89.42230796423235
2021-01-13,80.91983118525066,73.2101532737154,89.3251913505213
2021-01-14,81.04954948144804,72.39697126480566,89.46241094240875
2021-01-15,81.14928784133026,72.78234853796262,90.02109406280177
2021-01-19,81.75577066245494,72.99429607604131,89.82917504398101
2021-01-20,81.7449015096594,73.61124281259148,90.39621189856754
2021-01-21,81.7891901045067,73.19588978282101,89.92708845655478
2021-01-22,81.80215595568343,73.68189320838162,89.8285991199597
2021-01-25,81.85502064262347,73.10252946704777,90.20392948466781
2021-01-26,82.08243533132946,73.21443691172746,90.53971773514628
2021-01-27,82.00423445464374,73.68181703201941,90.78954048815835
2021-01-28,81.99042302587094,73.09189249196997,90.24348330134065
2021-01-29,81.95614707051087,73.98300334652994,90.13352641136355
2021-02-01,81.94619789847533,73.40905371882447,90.40702708031499
2021-02-02,82.18246467713837,73.52931040361969,90.45731537197206
2021-02-03,82.12908797422396,73.59539929503921,90.69401163516764
2021-02-04,82.15626450720073,74.07928394677063,90.11922899728253
2021-02-05,82.17900396030977,73.13151907671968,90.82832291415721
2021-02-08,82.42985840962173,73.74237705812986,90.80134719085623
2021-02-09,82.77919356652663,73.82208433840198,90.81266626776232
2021-02-10,82.84928760232577,74.17237847552697,91.54999578441478
2021-02-11,83.00832868176605,74.41373292552954,90.93120545552983
2021-02-12,83.16909370146955,75.20172293374691,91.69021140749386
2021-02-16,84.33306251029522,76.71921092009758,93.65611021309267
2021-02-17,84.53395007573839,76.01497256144685,92.39121741479916
2021-02-18,84.81457538079448,76.10815176568737,92.63339640014416
2021-02-19,85.08534056839648,76.45149876996224,93.93629306639333
2021-02-22,86.00257521767836,77.47093569850388,94.30184584139917
2021-02-23,86.53407677742864,78.34919195749929,95.63663215662791
2021-02-24,86.76015140277464,78.11934709062533,95.27173417145225
2021-02-25,87.04593986336502,78.01487326096964,95.4889158229559
2021-02-26,87.30172677142735,78.78203780585625,96.29876187786269
