ds,Most Likely Case,Worst Case,Best Case
2021-01-14,96.26173572985371,89.97717345749395,102.4207335755803
2021-01-15,96.3791410421023,90.1483193761728,103.00342592872794
2021-01-19,96.45067686311735,90.08915438600398,102.81329450106132
2021-01-20,96.55378453201364,90.82960076851445,103.13742133521096
2021-01-21,96.63874648424719,90.12406929703022,102.92356714389754
2021-01-22,96.74289252924287,90.26585439172833,103.11699876790819
2021-01-25,96.81628711772223,90.24388745997284,102.81597563330085
2021-01-26,96.78970984658284,90.21605624824322,102.95082838741165
2021-01-27,96.89656107910965,90.70863563040791,103.98469493913181
2021-01-28,96.99028076399308,90.97184990445993,103.41155630597828
2021-01-29,97.10861275098286,90.67981435225013,103.26596844383468
2021-02-01,97.25971884670017,90.42804611361116,103.37850670390884
2021-02-02,97.27098490276697,91.26645662682192,103.63778599624294
2021-02-03,97.42139381912217,90.4710708901567,103.94525287755873
2021-02-04,97.56399539716722,91.34662280160629,103.52463142243438
2021-02-05,97.73598194223398,91.4244739508018,104.14088315989916
2021-02-08,98.068862101741,91.94067893687466,104.24252300497562
2021-02-09,98.1443583608067,91.50736105036428,104.0715018594822
2021-02-10,98.35888427895742,91.94191484805333,105.14120089902482
2021-02-11,98.56420769006199,92.24241449529387,104.56752681305274
2021-02-12,98.79619541861288,92.56063736306753,104.66288891766102
2021-02-16,99.39108295461257,92.63186674735287,105.58369119739865
2021-02-17,99.6328000406501,92.84332123701927,106.05816417092424
2021-02-18,99.85549551583006,93.37324539938243,105.62835957581817
2021-02-19,100.09428595524649,93.7664723593718,106.03088790393369
2021-02-22,100.53011362975211,94.13179298347917,106.51923888150571
2021-02-23,100.60287637780124,94.00159012702015,107.12762437837543
2021-02-24,100.7946800537095,94.29355772160578,107.26608616723476
2021-02-25,100.956970824132,94.61520783262436,107.5397300739105
2021-02-26,101.12569442595712,94.42545233723516,107.68664841256513
2021-03-01,101.30473330027844,94.72251046803082,107.8350836337082
2021-03-02,101.28103600356326,94.55214446729708,107.31769016082698
2021-03-03,101.37361505862012,95.15166396707217,107.92594729183259
2021-03-04,101.43564711952023,95.44212583988633,107.93763061049233
2021-03-05,101.5048433349229,95.37754696038589,108.00782681691297
2021-03-08,101.40705019861026,94.72196046081652,107.87621047954313
2021-03-09,101.30374767323309,95.03523734321735,107.95723347265258
2021-03-10,101.32545960813358,95.03021376973376,107.63944725794322
2021-03-11,101.32655063948503,95.0589033825494,107.39655203412624
2021-03-12,101.34571307674686,95.17763561349811,107.78903747468385
2021-03-15,101.16957458048564,94.58695143308994,107.5246196908058
2021-03-16,101.06493426523032,94.39319151719982,107.05936849765989
2021-03-17,101.09749226481426,94.8343526895964,107.49334925217413
2021-03-18,101.12112011465985,94.93177134684649,107.17876847985863
2021-03-19,101.17378814809486,95.10329577839275,107.54982998364669
2021-03-22,101.15378301718218,94.37970126224442,107.32710914839022
2021-03-23,101.11552917153001,95.0624733792756,107.28555033189137
2021-03-24,101.21926050965924,94.63316233902435,107.71307518694934
2021-03-25,101.31732142271007,95.1328493737889,107.37021630680108
2021-03-26,101.4461427824624,95.15125284190961,107.83618183131354
